GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US471570211414,471570211414,"Block Group 4, Census Tract 211.41, Shelby County, Tennessee",826,198,8,14,40,50,13,23,60,55,125,125,146,131,0,12,0,12,91,111,66,61,15,26,172,122,14,24,21,35,38,48,17,30
1500000US471570211421,471570211421,"Block Group 1, Census Tract 211.42, Shelby County, Tennessee",1094,166,39,38,51,51,74,72,103,62,28,37,63,65,108,99,115,130,38,29,158,114,83,69,99,54,86,70,14,18,20,30,15,17
1500000US471570211422,471570211422,"Block Group 2, Census Tract 211.42, Shelby County, Tennessee",551,100,10,18,0,12,9,14,0,12,21,36,9,16,0,12,25,47,0,12,20,24,91,63,93,87,43,46,191,155,32,38,7,12
1500000US471570212001,471570212001,"Block Group 1, Census Tract 212, Shelby County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570212002,471570212002,"Block Group 2, Census Tract 212, Shelby County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570213111,471570213111,"Block Group 1, Census Tract 213.11, Shelby County, Tennessee",720,118,38,60,0,12,0,12,13,21,12,20,11,18,7,13,14,22,27,31,0,12,98,89,57,50,79,61,35,34,38,37,291,109
1500000US471570213112,471570213112,"Block Group 2, Census Tract 213.11, Shelby County, Tennessee",624,100,0,12,14,21,0,12,66,90,13,22,24,27,0,12,14,23,53,43,13,19,50,34,27,32,45,34,42,40,19,18,244,88
1500000US471570213113,471570213113,"Block Group 3, Census Tract 213.11, Shelby County, Tennessee",747,152,24,27,126,96,28,34,43,68,0,12,79,87,22,35,13,21,0,12,47,52,11,18,71,63,42,40,11,18,96,92,134,63
1500000US471570213121,471570213121,"Block Group 1, Census Tract 213.12, Shelby County, Tennessee",331,59,0,12,0,12,7,13,0,12,0,12,17,24,15,24,0,12,14,24,22,25,20,24,34,29,73,54,9,14,37,45,83,37
1500000US471570213122,471570213122,"Block Group 2, Census Tract 213.12, Shelby County, Tennessee",838,88,121,67,55,42,21,24,38,41,36,36,106,78,32,24,50,36,89,60,75,54,8,12,48,38,22,34,89,72,25,26,23,18
1500000US471570213201,471570213201,"Block Group 1, Census Tract 213.20, Shelby County, Tennessee",758,125,15,25,0,12,0,12,0,12,0,12,15,24,0,12,46,44,14,22,81,82,67,65,58,57,88,74,39,46,145,83,190,81
1500000US471570213202,471570213202,"Block Group 2, Census Tract 213.20, Shelby County, Tennessee",866,129,16,23,0,12,17,27,61,77,17,27,55,41,16,27,14,23,62,74,43,51,72,46,89,65,44,41,75,72,108,53,177,87
1500000US471570213203,471570213203,"Block Group 3, Census Tract 213.20, Shelby County, Tennessee",903,181,29,35,59,64,61,74,40,46,48,44,111,81,30,34,38,45,32,40,233,131,89,90,77,78,32,36,0,12,24,37,0,12
1500000US471570213204,471570213204,"Block Group 4, Census Tract 213.20, Shelby County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570213311,471570213311,"Block Group 1, Census Tract 213.31, Shelby County, Tennessee",567,78,37,28,7,11,12,19,45,33,25,23,47,34,15,18,22,25,13,20,58,37,47,42,86,45,51,31,59,42,9,14,34,39
1500000US471570213312,471570213312,"Block Group 2, Census Tract 213.31, Shelby County, Tennessee",458,75,0,12,30,30,21,30,0,12,52,50,32,48,25,36,0,12,6,12,36,33,44,32,113,52,91,54,8,14,0,12,0,12
1500000US471570213313,471570213313,"Block Group 3, Census Tract 213.31, Shelby County, Tennessee",291,63,18,21,0,12,35,40,0,12,21,25,22,24,17,20,10,16,19,22,23,23,26,23,27,25,25,23,32,27,16,18,0,12
1500000US471570213331,471570213331,"Block Group 1, Census Tract 213.33, Shelby County, Tennessee",489,114,19,30,16,25,7,12,20,32,48,75,26,35,22,25,12,19,34,30,39,39,59,46,65,50,42,32,41,54,31,32,8,12
1500000US471570213332,471570213332,"Block Group 2, Census Tract 213.33, Shelby County, Tennessee",970,133,9,16,18,21,28,23,120,78,56,46,56,51,27,33,60,56,39,40,37,29,110,65,194,98,64,71,45,37,41,44,66,44
1500000US471570213341,471570213341,"Block Group 1, Census Tract 213.34, Shelby County, Tennessee",1022,159,56,65,1,8,98,93,35,34,0,12,36,48,157,105,83,82,34,33,129,89,89,69,102,92,91,73,47,45,36,34,28,23
1500000US471570213342,471570213342,"Block Group 2, Census Tract 213.34, Shelby County, Tennessee",583,151,32,31,84,89,64,65,0,12,74,76,21,33,138,97,89,92,6,11,13,23,20,32,28,35,14,16,0,12,0,12,0,12
1500000US471570213411,471570213411,"Block Group 1, Census Tract 213.41, Shelby County, Tennessee",477,67,36,46,18,21,0,12,0,12,9,14,11,16,0,12,18,20,7,11,16,18,66,59,59,25,61,36,16,18,70,35,90,28
1500000US471570213412,471570213412,"Block Group 2, Census Tract 213.41, Shelby County, Tennessee",836,69,19,20,10,15,0,12,0,12,29,27,10,16,17,19,72,63,20,22,35,28,67,34,42,30,109,65,57,36,121,73,228,68
1500000US471570213413,471570213413,"Block Group 3, Census Tract 213.41, Shelby County, Tennessee",623,66,10,15,0,12,0,12,17,19,6,11,16,17,0,12,0,12,0,12,36,32,41,30,61,33,59,36,108,47,121,55,148,48
1500000US471570213421,471570213421,"Block Group 1, Census Tract 213.42, Shelby County, Tennessee",2137,241,64,76,62,58,159,135,152,101,28,35,144,142,66,72,320,161,68,86,142,82,402,180,202,106,93,62,63,53,117,86,55,65
1500000US471570213422,471570213422,"Block Group 2, Census Tract 213.42, Shelby County, Tennessee",437,98,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,30,54,57,137,76,55,53,36,58,47,44,91,79
1500000US471570213423,471570213423,"Block Group 3, Census Tract 213.42, Shelby County, Tennessee",952,212,114,136,0,12,60,97,0,12,36,57,0,12,92,141,103,116,42,72,109,95,82,96,73,66,38,45,11,22,109,75,83,57
1500000US471570213424,471570213424,"Block Group 4, Census Tract 213.42, Shelby County, Tennessee",689,117,0,12,0,12,0,12,0,12,19,31,66,74,0,12,26,32,29,47,35,39,68,68,26,40,64,58,112,93,51,39,193,99
1500000US471570213511,471570213511,"Block Group 1, Census Tract 213.51, Shelby County, Tennessee",869,131,15,24,0,12,28,47,12,20,9,14,9,14,44,43,56,64,15,24,135,72,156,86,99,72,107,66,98,72,20,25,66,49
1500000US471570213512,471570213512,"Block Group 2, Census Tract 213.51, Shelby County, Tennessee",444,96,19,30,13,21,8,14,0,12,37,43,0,12,9,15,66,58,0,12,50,50,21,34,46,45,67,47,16,27,80,81,12,21
1500000US471570213513,471570213513,"Block Group 3, Census Tract 213.51, Shelby County, Tennessee",306,80,0,12,0,12,41,50,13,20,22,35,17,27,0,12,0,12,0,12,28,46,35,39,72,54,60,46,18,30,0,12,0,12
1500000US471570213514,471570213514,"Block Group 4, Census Tract 213.51, Shelby County, Tennessee",446,79,0,12,0,12,17,21,14,22,15,24,19,17,0,12,18,28,43,35,38,47,20,30,15,23,99,71,20,33,102,53,26,30
1500000US471570213521,471570213521,"Block Group 1, Census Tract 213.52, Shelby County, Tennessee",491,74,0,12,0,12,44,38,59,48,14,21,28,32,0,12,34,38,0,12,25,28,95,95,63,53,59,49,61,42,9,18,0,12
1500000US471570213522,471570213522,"Block Group 2, Census Tract 213.52, Shelby County, Tennessee",445,71,0,12,0,12,25,30,0,12,13,21,0,12,0,12,0,12,0,12,14,23,29,31,14,23,44,44,94,68,73,44,139,76
1500000US471570213523,471570213523,"Block Group 3, Census Tract 213.52, Shelby County, Tennessee",296,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,64,62,31,35,71,45,62,63,35,41,15,24
1500000US471570213524,471570213524,"Block Group 4, Census Tract 213.52, Shelby County, Tennessee",478,71,0,12,0,12,0,12,0,12,0,12,0,12,14,22,17,25,0,12,33,36,12,19,70,46,95,85,34,40,51,29,152,64
1500000US471570213525,471570213525,"Block Group 5, Census Tract 213.52, Shelby County, Tennessee",657,95,0,12,14,23,0,12,0,12,0,12,14,22,28,32,23,26,31,34,51,51,76,74,63,40,72,56,100,53,97,56,88,54
1500000US471570213531,471570213531,"Block Group 1, Census Tract 213.53, Shelby County, Tennessee",449,107,0,12,0,12,0,12,0,12,0,12,19,30,0,12,0,12,17,27,0,12,12,18,30,25,86,69,38,41,73,79,174,76
1500000US471570213532,471570213532,"Block Group 2, Census Tract 213.53, Shelby County, Tennessee",557,70,0,12,0,12,15,24,19,30,0,12,0,12,0,12,18,31,15,22,0,12,30,33,29,34,73,45,90,65,61,42,207,77
1500000US471570213533,471570213533,"Block Group 3, Census Tract 213.53, Shelby County, Tennessee",732,117,48,54,0,12,0,12,0,12,11,18,0,12,14,21,12,20,44,68,35,40,47,43,11,20,50,63,78,58,92,67,290,105
1500000US471570213534,471570213534,"Block Group 4, Census Tract 213.53, Shelby County, Tennessee",838,95,0,12,0,12,0,12,18,28,0,12,31,48,0,12,0,12,9,15,29,24,50,47,35,26,60,46,121,78,146,76,339,87
1500000US471570213535,471570213535,"Block Group 5, Census Tract 213.53, Shelby County, Tennessee",482,87,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,0,12,21,32,103,71,32,35,81,52,80,64,55,36,95,60
1500000US471570214101,471570214101,"Block Group 1, Census Tract 214.10, Shelby County, Tennessee",608,70,0,12,68,57,0,12,9,14,31,32,16,17,14,16,8,12,12,19,40,28,48,42,75,44,114,59,95,39,35,23,43,30
1500000US471570214102,471570214102,"Block Group 2, Census Tract 214.10, Shelby County, Tennessee",503,58,18,24,7,11,18,19,12,14,15,17,23,21,24,21,43,31,0,12,8,12,30,23,42,29,54,32,44,29,72,42,93,35
1500000US471570214201,471570214201,"Block Group 1, Census Tract 214.20, Shelby County, Tennessee",786,80,44,44,0,12,0,12,22,25,17,19,0,12,12,18,18,20,9,14,55,43,42,40,126,61,127,60,89,47,94,49,131,61
1500000US471570214202,471570214202,"Block Group 2, Census Tract 214.20, Shelby County, Tennessee",506,73,0,12,11,18,30,25,6,10,11,19,23,25,0,12,0,12,24,27,98,51,35,29,38,29,59,34,93,52,21,20,57,31
1500000US471570214301,471570214301,"Block Group 1, Census Tract 214.30, Shelby County, Tennessee",396,64,0,12,0,12,0,12,11,17,6,10,11,18,0,12,0,12,18,20,23,23,17,28,60,48,96,66,53,47,51,37,50,34
1500000US471570214302,471570214302,"Block Group 2, Census Tract 214.30, Shelby County, Tennessee",486,90,0,12,18,19,0,12,15,21,46,54,8,12,0,12,17,27,12,14,0,12,31,25,58,31,49,35,64,40,57,39,111,67
1500000US471570214303,471570214303,"Block Group 3, Census Tract 214.30, Shelby County, Tennessee",799,109,36,39,0,12,27,26,9,15,12,14,54,53,9,14,10,15,48,32,42,29,111,69,114,69,80,59,49,53,64,44,134,68
1500000US471570215101,471570215101,"Block Group 1, Census Tract 215.10, Shelby County, Tennessee",1085,219,32,36,34,40,7,15,61,46,102,97,37,34,44,43,56,90,37,34,173,124,107,82,143,77,155,115,23,29,56,91,18,30
1500000US471570215102,471570215102,"Block Group 2, Census Tract 215.10, Shelby County, Tennessee",2220,273,178,119,102,85,62,76,11,19,181,166,186,130,154,106,83,52,79,63,104,91,309,150,282,145,234,94,157,87,49,47,49,52
1500000US471570215201,471570215201,"Block Group 1, Census Tract 215.20, Shelby County, Tennessee",1234,200,30,34,0,12,0,12,59,76,0,12,85,81,53,49,0,12,0,12,122,92,97,91,248,168,73,80,210,133,135,105,122,119
1500000US471570215202,471570215202,"Block Group 2, Census Tract 215.20, Shelby County, Tennessee",2643,180,15,25,12,20,35,51,85,54,125,109,44,50,124,91,155,108,124,88,147,109,107,65,364,139,299,128,307,137,376,129,324,116
1500000US471570215301,471570215301,"Block Group 1, Census Tract 215.30, Shelby County, Tennessee",804,82,0,12,26,37,0,12,7,11,0,12,0,12,13,19,28,43,56,39,16,19,78,44,52,38,140,65,67,38,124,48,197,64
1500000US471570215302,471570215302,"Block Group 2, Census Tract 215.30, Shelby County, Tennessee",711,89,0,12,38,34,10,15,38,29,47,35,9,14,9,14,50,44,18,20,36,42,33,24,98,53,100,54,37,29,71,56,117,66
1500000US471570215303,471570215303,"Block Group 3, Census Tract 215.30, Shelby County, Tennessee",327,56,0,12,0,12,0,12,0,12,13,18,0,12,10,15,0,12,17,21,0,12,17,24,37,43,43,28,35,29,79,47,76,36
1500000US471570215401,471570215401,"Block Group 1, Census Tract 215.40, Shelby County, Tennessee",1581,133,13,20,0,12,27,31,36,29,23,24,0,12,112,89,50,41,89,69,62,51,117,85,128,71,161,85,112,76,324,109,327,102
1500000US471570215402,471570215402,"Block Group 2, Census Tract 215.40, Shelby County, Tennessee",1199,121,14,21,0,12,0,12,14,22,0,12,15,24,11,17,0,12,0,12,21,33,0,12,87,57,157,62,174,80,339,124,367,111
1500000US471570215403,471570215403,"Block Group 3, Census Tract 215.40, Shelby County, Tennessee",858,123,0,12,13,21,21,17,0,12,0,12,13,20,13,21,0,12,0,12,35,35,109,79,133,70,153,114,57,46,232,101,79,54
